date,enddate,piece,role,presenter,location,city,state,notes
5/2/2014,5/4/2014,These Are The Men,,Savage Umbrella,Casket Arts Building,Minneapolis,MN,Sound Designer
4/27/2014,,eclipse,,Kyle Hutchins DMA Recital,University of Minnesota,Minneapolis,MN,"Kyle Hutchins, tenor sax."
4/19/2014,5/15/2014,eclipse (excerpts),,Art Institute International Minnesota,Art Institute International Minnesota,Minneapolis,MN,"Kyle Hutchins, tenor sax."
3/18/2014,,deepities,,AvidDUO,Coe College,Cedar Rapids,IA,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
3/18/2014,,is himself no more,,AvidDUO,Coe College,Cedar Rapids,IA,"Kyle Hutchins, tenor sax."
3/18/2014,,of circumstance,,AvidDUO,Coe College,Cedar Rapids,IA,"Brittany Primavera, flute"
3/18/2014,,,Presentation,Coe College,Coe College,Cedar Rapids,IA,Intro to SuperCollider
3/17/2014,,deepities,,AvidDUO,Luther College,Decorah,IA,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
3/17/2014,,is himself no more,,AvidDUO,Luther College,Decorah,IA,"Kyle Hutchins, tenor sax."
3/17/2014,,of circumstance,,AvidDUO,Luther College,Decorah,IA,"Brittany Primavera, flute"
3/7/2014,,Rapture,,Savage Umbrella,Nimbus Theater,Minneapolis,MN,Composer & Sound Designer
2/11/2014,,,Presentation,Composition Seminar,McNally Smith College of Music,Saint Paul,MN,
2/7/2014,,deepities,,AVIDduo,Denton Women's Club,Denton,TX,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
1/19/2014,,eclipse,,Skewed Visions,Skewed Visions Studio,Minneapolis,MN,"Kyle Hutchins, tenor sax."
1/10/2014,,Body House,,Megan Clark,"Seward, Minneapolis",Minneapolis,MN,Sound Designer
11/25/2013,,"Lament, mvt. III of Gilgamesh & Enkidu",,Springboard for the Arts,St. Paul Central Library,Saint Paul,MN,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
11/8/2013,,Leaves,,Savage Umbrella,Playwrights' Center,Minneapolis,MN,Music Director
11/2/2013,,Gilgamesh & Enkidu,,New Horizons Music Festival,Truman State University,Kirksville,MO,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
10/19/2013,,eyes may be impaired,,SCI Region IV Conference,Eastern Kentucky University,Richmond,KY,
9/25/2013,,deepities,,AvidDUO,University of Minnesota,Minneapolis,MN,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
9/21/2013,,deepities,,AvidDUO,Studio Z,Saint Paul,MN,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
8/1/2013,,Rules of Love,,Minnesota Fringe Festival,New Century Theatre,Minneapolis,MN,Sound Designer
7/5/2013,,Rain Follows the Plow,,Savage Umbrella,The Playwrights' Center,Minneapolis,MN,Composer & Sound Designer
6/15/2013,,attackSUSTAINrelease,,Saint Paul Public Library,Conway Community Center,Saint Paul,MN,
5/24/2013,6/2/2013,The View From Here,,Nautilus Music Theater,Jon Hassler Theater,Plainview,MN,Sound Designer
4/28/2013,,is himself no more,,RenegadeEnsemble,Studio Z,Saint Paul,MN,"Kyle Hutchins, tenor sax."
4/19/2013,,,Presenation,Composition Seminar,Truman State University,Kirksville,MO,on SuperCollider
4/16/2013,,is himself no more,,American Composers Forum Tuesday Salon,Studio Z,Saint Paul,MN,"Kyle Hutchins, tenor sax."
4/13/2013,,fiery walls,,Art Institute International Minnesota,Art Institute International Minnesota,Minneapolis,MN,"Recording of Erik Mahon, tpt."
4/13/2013,,attackSUSTAINrelease,,TC Make's Maker Faire,Hack Factory,Minneapolis,MN,
4/12/2013,,fiery walls,,SCI Region V Conference,Clarke University,Dubuque,IA,"Jim Sherry, tpt."
2/18/2013,2/19/2013,Thick as a Brick,,Nautilus Music Theater,University of Minnesota,Minneapolis,MN,played percussion in the pit orchestra
2/1/2013,,Emma Woodhouse is NOT a Bitch,,Savage Umbrella,People's Center Theater,Minneapolis,MN,Sound Designer
1/6/2013,,Gilgamesh & Enkidu,,Cedar Cultural Center 416 Club,Cedar Cultural Center,Minneapolis,MN,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
10/15/2012,,The Eye of Horus,,Access Contemporary Music,Access Contemporary Music,Chicago,IL,
9/7/2012,,Since the Kids are Gone…,,Freshwater Theater Company,Nimbus Theater,Minneapolis,MN,Sound Designer
7/1/2012,,eyes may be impaired,,"Yarn/Wire, The Walden School",Dublin School,Dublin,NH,
6/23/2012,,do you?,,New Music Forum,Trinity Chapel,Berkeley,CA,
6/1/2012,,Care Enough,,Savage Umbrella,Nimbus Theater,Minneapolis,MN,Composer & Sound Designer
5/17/2012,5/27/2012,The View From Here,,Nautilus Music Theater,Nautilus Studio,St. Paul,MN,Sound Designer
5/1/2012,,fiery walls,,American Composers Forum Tuesday Salon,Studio Z,Saint Paul,MN,"Erik Mahon, tpt."
4/14/2012,,Europera 5,,Nautilus Music Theater,Studio Z,Saint Paul,MN,Sound Designer
1/13/2012,1/15/2012,Joan of Arc,,Nautilus Music Theater,Winona State University,Winona,MN,Sound Designer
1/5/2012,1/8/2012,Joan of Arc,,Nautilus Music Theater,Nautilus Studio,St. Paul,MN,Sound Designer
10/27/2011,11/6/2011,Joan of Arc,,Nautilus Music Theater,Nautilus Studio,St. Paul,MN,Sound Designer
4/12/2011,,drawing secrets,,Truman State University,Truman State University,Kirksville,MO,
10/30/2010,,The Passion of the Infinite,,Truman State New Music Festival,Truman State University,Kirksville,MO,
10/16/2010,,of circumstance,,Iowa Composers Forum Fall Festival,Iowa State University,Ames,IA,"Chelsea Lundberg, flute"
2/16/2010,,emergence,,Mostly Live Composers Society,Truman State University,Kirksville,MO,"Ben Tate, alto sax."
10/30/2009,,Amygdala,,Truman State New Music Festival,Truman State University,Kirksville,MO,
4/30/2009,,Three Songs for Soprano and Piano,,Studio Recital,Luther College,Decorah,IA,"Sarah Frederickson, sop.; Matt Meyers, pno."
3/8/2009,,The Passion of the Infinite,,Stacy Duren,Luther College,Decorah,IA,"Stacy Duren, violin"
10/24/2008,,What it is,,Art Haus,Art Haus,Decorah,IA,
10/11/2008,,Stilled Drops,,Music in the Shape of a Pear New Music Festival,Luther College,Decorah,IA,"Laura McCarty, cello"
